BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDat
149,04-03-03 0:00,9.5,1,31-07-08 0:00
150,30-03-03 0:00,9.5,1,31-07-08 0:00
151,23-03-03 0:00,9.5,1,31-07-08 0:00
152,05-03-03 0:00,25.0,2,31-07-08 0:00
153,17-01-03 0:00,14.0,1,31-07-08 0:00
154,24-01-03 0:00,14.0,1,31-07-08 0:00
155,05-02-03 0:00,14.0,1,31-07-08 0:00
156,12-02-03 0:00,14.0,1,31-07-08 0:00
157,07-03-03 0:00,14.0,1,31-07-08 0:00
158,08-04-03 0:00,14.0,1,31-07-08 0:00
159,20-03-03 0:00,14.0,1,31-07-08 0:00
160,22-02-03 0:00,25.0,2,31-07-08 0:00
161,16-01-03 0:00,10.0,1,31-07-08 0:00
162,04-02-03 0:00,10.0,1,31-07-08 0:00
163,12-03-03 0:00,10.0,1,31-07-08 0:00
164,07-04-03 0:00,10.0,1,31-07-08 0:00
165,23-02-03 0:00,10.0,1,31-07-08 0:00
166,25-03-03 0:00,25.0,2,31-07-08 0:00
167,03-01-03 0:00,6.5,1,20-12-02 0:00
167,01-01-06 0:00,7.25,1,18-12-05 0:00
167,15-08-07 0:00,9.5,1,01-08-07 0:00
168,08-01-03 0:00,9.5,1,31-07-08 0:00
169,15-01-03 0:00,9.5,1,31-07-08 0:00
170,22-01-03 0:00,6.5,1,08-01-03 0:00
170,01-01-06 0:00,7.25,1,18-12-05 0:00
170,15-08-07 0:00,9.5,1,01-08-07 0:00
171,03-02-03 0:00,9.5,1,31-07-08 0:00
172,17-02-03 0:00,6.5,1,03-02-03 0:00
172,01-01-06 0:00,7.25,1,18-12-05 0:00
172,15-08-07 0:00,9.5,1,01-08-07 0:00
173,22-02-03 0:00,9.5,1,31-07-08 0:00
174,28-02-03 0:00,6.75,1,14-02-03 0:00
174,01-01-06 0:00,7.25,1,18-12-05 0:00
174,15-08-07 0:00,9.5,1,01-08-07 0:00
175,06-03-03 0:00,6.5,1,20-02-03 0:00
175,01-01-06 0:00,7.25,1,18-12-05 0:00
175,15-08-07 0:00,9.5,1,01-08-07 0:00
176,18-03-03 0:00,6.5,1,04-03-03 0:00
176,01-01-06 0:00,7.25,1,18-12-05 0:00
176,15-08-07 0:00,9.5,1,01-08-07 0:00
177,25-03-03 0:00,6.5,1,11-03-03 0:00
177,01-01-06 0:00,7.25,1,18-12-05 0:00
177,15-08-07 0:00,9.5,1,01-08-07 0:00
178,04-04-03 0:00,6.5,1,21-03-03 0:00
178,01-01-06 0:00,7.0,1,18-12-05 0:00
178,15-08-07 0:00,9.5,1,01-08-07 0:00
179,06-04-03 0:00,9.5,1,31-07-08 0:00
180,24-03-03 0:00,25.0,2,31-07-08 0:00
181,10-01-03 0:00,14.0,1,31-07-08 0:00
182,29-01-03 0:00,14.0,1,31-07-08 0:00
183,23-02-03 0:00,14.0,1,31-07-08 0:00
184,13-03-03 0:00,14.0,1,31-07-08 0:00
185,01-04-03 0:00,14.0,1,31-07-08 0:00
186,12-03-03 0:00,25.0,2,31-07-08 0:00
187,10-01-03 0:00,10.0,1,31-07-08 0:00
188,28-01-03 0:00,10.0,1,31-07-08 0:00
189,16-02-03 0:00,10.0,1,31-07-08 0:00
190,06-03-03 0:00,10.0,1,31-07-08 0:00
191,30-03-03 0:00,10.0,1,31-07-08 0:00
192,06-04-03 0:00,25.0,2,31-07-08 0:00
193,07-01-03 0:00,15.0,1,31-07-08 0:00
194,13-01-03 0:00,15.0,1,31-07-08 0:00
195,18-01-03 0:00,15.0,1,31-07-08 0:00
196,25-01-03 0:00,15.0,1,31-07-08 0:00
197,01-02-03 0:00,15.0,1,31-07-08 0:00
198,05-02-03 0:00,15.0,1,31-07-08 0:00
199,13-02-03 0:00,15.0,1,31-07-08 0:00
200,18-02-03 0:00,15.0,1,31-07-08 0:00
201,02-03-03 0:00,15.0,1,31-07-08 0:00
202,09-03-03 0:00,15.0,1,31-07-08 0:00
203,28-03-03 0:00,15.0,1,31-07-08 0:00
204,09-04-03 0:00,15.0,1,31-07-08 0:00
205,30-03-03 0:00,25.0,2,31-07-08 0:00
206,03-01-03 0:00,10.0,1,31-07-08 0:00
207,03-01-03 0:00,10.0,1,31-07-08 0:00
208,09-02-03 0:00,10.0,1,31-07-08 0:00
209,28-02-03 0:00,10.0,1,31-07-08 0:00
210,24-03-03 0:00,10.0,1,31-07-08 0:00
211,01-04-03 0:00,28.8462,2,31-07-08 0:00
212,10-01-03 0:00,21.6346,2,31-07-08 0:00
213,26-03-04 0:00,10.5769,2,31-07-08 0:00
214,06-03-03 0:00,10.5769,2,31-07-08 0:00
215,16-02-03 0:00,10.5769,2,31-07-08 0:00
216,29-01-03 0:00,10.5769,2,31-07-08 0:00
217,05-02-03 0:00,17.7885,2,31-07-08 0:00
218,17-01-03 0:00,16.8269,2,31-07-08 0:00
219,23-02-03 0:00,10.25,2,31-07-08 0:00
220,13-03-03 0:00,10.25,2,31-07-08 0:00
221,07-04-03 0:00,16.8269,2,31-07-08 0:00
222,13-01-03 0:00,23.5577,2,31-07-08 0:00
223,27-02-03 0:00,16.0,2,31-07-08 0:00
224,08-02-02 0:00,8.62,2,25-01-02 0:00
224,01-10-05 0:00,13.5,2,17-09-05 0:00
224,01-02-06 0:00,16.0,2,18-01-06 0:00
225,17-03-03 0:00,16.0,2,31-07-08 0:00
226,04-04-03 0:00,16.0,2,31-07-08 0:00
227,03-01-04 0:00,24.0385,2,31-07-08 0:00
228,15-01-03 0:00,20.4327,2,31-07-08 0:00
229,19-03-04 0:00,9.25,1,31-07-08 0:00
230,05-04-04 0:00,9.25,1,31-07-08 0:00
231,07-04-04 0:00,9.25,1,31-07-08 0:00
232,28-02-04 0:00,9.25,1,31-07-08 0:00
233,22-01-04 0:00,9.75,2,31-07-08 0:00
234,04-03-03 0:00,39.06,2,18-02-03 0:00
234,15-12-05 0:00,48.5577,2,01-12-05 0:00
234,01-03-06 0:00,60.0962,2,15-02-06 0:00
235,07-01-03 0:00,27.1394,2,31-07-08 0:00
236,29-03-03 0:00,13.9423,2,31-07-08 0:00
237,10-03-03 0:00,13.9423,2,31-07-08 0:00
238,02-02-03 0:00,18.2692,2,31-07-08 0:00
239,26-01-03 0:00,16.5865,2,31-07-08 0:00
240,14-01-03 0:00,18.2692,2,31-07-08 0:00
241,03-03-03 0:00,34.7356,2,31-07-08 0:00
242,19-01-03 0:00,19.0,2,31-07-08 0:00
243,07-02-03 0:00,19.0,2,31-07-08 0:00
244,25-02-03 0:00,19.0,2,31-07-08 0:00
245,22-03-03 0:00,26.4423,2,31-07-08 0:00
246,15-03-03 0:00,19.0,2,31-07-08 0:00
247,02-04-03 0:00,19.0,2,31-07-08 0:00
248,09-04-03 0:00,26.4423,2,31-07-08 0:00
249,26-01-03 0:00,43.2692,2,31-07-08 0:00
250,24-03-05 0:00,9.86,2,10-03-05 0:00
250,30-08-05 0:00,22.5,2,16-08-05 0:00
250,15-08-06 0:00,30.0,2,01-08-06 0:00
251,14-03-03 0:00,18.2692,2,31-07-08 0:00
252,01-04-03 0:00,18.2692,2,31-07-08 0:00
253,18-01-04 0:00,18.2692,2,31-07-08 0:00
254,05-02-04 0:00,18.2692,2,31-07-08 0:00
255,12-02-04 0:00,18.2692,2,31-07-08 0:00
256,24-02-04 0:00,18.2692,2,31-07-08 0:00
257,28-02-04 0:00,18.2692,2,31-07-08 0:00
258,03-03-04 0:00,18.2692,2,31-07-08 0:00
259,09-04-04 0:00,18.2692,2,31-07-08 0:00
260,06-01-05 0:00,12.75,2,31-07-08 0:00
261,25-01-05 0:00,12.75,2,31-07-08 0:00
262,13-02-03 0:00,13.4615,2,31-07-08 0:00
263,12-01-03 0:00,50.4808,2,31-07-08 0:00
264,08-03-03 0:00,39.6635,2,31-07-08 0:00
265,05-01-03 0:00,32.4519,2,31-07-08 0:00
266,27-03-03 0:00,32.4519,2,31-07-08 0:00
267,20-03-03 0:00,27.4038,2,31-07-08 0:00
268,07-03-03 0:00,27.4038,2,31-07-08 0:00
269,12-02-03 0:00,27.4038,2,31-07-08 0:00
270,18-02-03 0:00,38.4615,2,31-07-08 0:00
271,23-02-03 0:00,38.4615,2,31-07-08 0:00
272,24-01-03 0:00,27.4038,2,31-07-08 0:00
273,18-03-05 0:00,72.1154,2,31-07-08 0:00
274,04-02-05 0:00,48.101000000000006,2,31-07-08 0:00
275,01-07-05 0:00,23.0769,2,31-07-08 0:00
276,01-07-05 0:00,23.0769,2,31-07-08 0:00
277,01-07-05 0:00,23.0769,2,31-07-08 0:00
278,01-07-05 0:00,23.0769,2,31-07-08 0:00
279,01-07-05 0:00,23.0769,2,31-07-08 0:00
280,01-07-05 0:00,23.0769,2,31-07-08 0:00
281,01-07-05 0:00,23.0769,2,31-07-08 0:00
282,01-07-05 0:00,23.0769,2,31-07-08 0:00
283,01-07-05 0:00,23.0769,2,31-07-08 0:00
284,01-11-06 0:00,23.0769,2,31-07-08 0:00
285,15-04-07 0:00,48.101000000000006,2,31-07-08 0:00
286,01-07-07 0:00,23.0769,2,31-07-08 0:00
287,18-05-06 0:00,48.101000000000006,2,31-07-08 0:00
288,01-07-07 0:00,23.0769,2,31-07-08 0:00
289,01-07-06 0:00,23.0769,2,31-07-08 0:00
290,01-07-06 0:00,23.0769,2,31-07-08 0:00
